Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
RotomFrost Rotom,Electric,Ice,520,50,65,107,105,107,86,4,FALSE
RotomFan Rotom,Electric,Flying,520,50,65,107,105,107,86,4,FALSE
RotomMow Rotom,Electric,Grass,520,50,65,107,105,107,86,4,FALSE
Uxie,Psychic,,580,75,75,130,75,130,95,4,TRUE
Mesprit,Psychic,,580,80,105,105,105,105,80,4,TRUE
Azelf,Psychic,,580,75,125,70,125,70,115,4,TRUE
Dialga,Steel,Dragon,680,100,120,120,150,100,90,4,TRUE
Palkia,Water,Dragon,680,90,120,100,150,120,100,4,TRUE
Heatran,Fire,Steel,600,91,90,106,130,106,77,4,TRUE
Regigigas,Normal,,670,110,160,110,80,110,100,4,TRUE
GiratinaAltered Forme,Ghost,Dragon,680,150,100,120,100,120,90,4,TRUE
GiratinaOrigin Forme,Ghost,Dragon,680,150,120,100,120,100,90,4,TRUE
Cresselia,Psychic,,600,120,70,120,75,130,85,4,FALSE
Phione,Water,,480,80,80,80,80,80,80,4,FALSE
Manaphy,Water,,600,100,100,100,100,100,100,4,FALSE
Darkrai,Dark,,600,70,90,90,135,90,125,4,TRUE
ShayminLand Forme,Grass,,600,100,100,100,100,100,100,4,TRUE
ShayminSky Forme,Grass,Flying,600,100,103,75,120,75,127,4,TRUE
Arceus,Normal,,720,120,120,120,120,120,120,4,TRUE
Victini,Psychic,Fire,600,100,100,100,100,100,100,5,TRUE
Snivy,Grass,,308,45,45,55,45,55,63,5,FALSE
Servine,Grass,,413,60,60,75,60,75,83,5,FALSE
Serperior,Grass,,528,75,75,95,75,95,113,5,FALSE
Tepig,Fire,,308,65,63,45,45,45,45,5,FALSE
Pignite,Fire,Fighting,418,90,93,55,70,55,55,5,FALSE
Emboar,Fire,Fighting,528,110,123,65,100,65,65,5,FALSE
Oshawott,Water,,308,55,55,45,63,45,45,5,FALSE
Dewott,Water,,413,75,75,60,83,60,60,5,FALSE
Samurott,Water,,528,95,100,85,108,70,70,5,FALSE
Patrat,Normal,,255,45,55,39,35,39,42,5,FALSE
Watchog,Normal,,420,60,85,69,60,69,77,5,FALSE
Lillipup,Normal,,275,45,60,45,25,45,55,5,FALSE
Herdier,Normal,,370,65,80,65,35,65,60,5,FALSE
Stoutland,Normal,,500,85,110,90,45,90,80,5,FALSE
Purrloin,Dark,,281,41,50,37,50,37,66,5,FALSE
Liepard,Dark,,446,64,88,50,88,50,106,5,FALSE
Pansage,Grass,,316,50,53,48,53,48,64,5,FALSE
Simisage,Grass,,498,75,98,63,98,63,101,5,FALSE
Pansear,Fire,,316,50,53,48,53,48,64,5,FALSE
Simisear,Fire,,498,75,98,63,98,63,101,5,FALSE
Panpour,Water,,316,50,53,48,53,48,64,5,FALSE
Simipour,Water,,498,75,98,63,98,63,101,5,FALSE
Munna,Psychic,,292,76,25,45,67,55,24,5,FALSE
Musharna,Psychic,,487,116,55,85,107,95,29,5,FALSE
Pidove,Normal,Flying,264,50,55,50,36,30,43,5,FALSE
Tranquill,Normal,Flying,358,62,77,62,50,42,65,5,FALSE
Unfezant,Normal,Flying,488,80,115,80,65,55,93,5,FALSE
Blitzle,Electric,,295,45,60,32,50,32,76,5,FALSE
Zebstrika,Electric,,497,75,100,63,80,63,116,5,FALSE
Roggenrola,Rock,,280,55,75,85,25,25,15,5,FALSE
Boldore,Rock,,390,70,105,105,50,40,20,5,FALSE
Gigalith,Rock,,515,85,135,130,60,80,25,5,FALSE
Woobat,Psychic,Flying,313,55,45,43,55,43,72,5,FALSE
Swoobat,Psychic,Flying,425,67,57,55,77,55,114,5,FALSE
Drilbur,Ground,,328,60,85,40,30,45,68,5,FALSE
Excadrill,Ground,Steel,508,110,135,60,50,65,88,5,FALSE
Audino,Normal,,445,103,60,86,60,86,50,5,FALSE
AudinoMega Audino,Normal,Fairy,545,103,60,126,80,126,50,5,FALSE
Timburr,Fighting,,305,75,80,55,25,35,35,5,FALSE
Gurdurr,Fighting,,405,85,105,85,40,50,40,5,FALSE
Conkeldurr,Fighting,,505,105,140,95,55,65,45,5,FALSE
Tympole,Water,,294,50,50,40,50,40,64,5,FALSE
Palpitoad,Water,Ground,384,75,65,55,65,55,69,5,FALSE
Seismitoad,Water,Ground,509,105,95,75,85,75,74,5,FALSE
Throh,Fighting,,465,120,100,85,30,85,45,5,FALSE
Sawk,Fighting,,465,75,125,75,30,75,85,5,FALSE
Sewaddle,Bug,Grass,310,45,53,70,40,60,42,5,FALSE
Swadloon,Bug,Grass,380,55,63,90,50,80,42,5,FALSE
Leavanny,Bug,Grass,500,75,103,80,70,80,92,5,FALSE
Venipede,Bug,Poison,260,30,45,59,30,39,57,5,FALSE
Whirlipede,Bug,Poison,360,40,55,99,40,79,47,5,FALSE
Scolipede,Bug,Poison,485,60,100,89,55,69,112,5,FALSE
Cottonee,Grass,Fairy,280,40,27,60,37,50,66,5,FALSE
Whimsicott,Grass,Fairy,480,60,67,85,77,75,116,5,FALSE
Petilil,Grass,,280,45,35,50,70,50,30,5,FALSE
Lilligant,Grass,,480,70,60,75,110,75,90,5,FALSE
Basculin,Water,,460,70,92,65,80,55,98,5,FALSE
Sandile,Ground,Dark,292,50,72,35,35,35,65,5,FALSE
Krokorok,Ground,Dark,351,60,82,45,45,45,74,5,FALSE
Krookodile,Ground,Dark,519,95,117,80,65,70,92,5,FALSE
Darumaka,Fire,,315,70,90,45,15,45,50,5,FALSE
DarmanitanStandard Mode,Fire,,480,105,140,55,30,55,95,5,FALSE
DarmanitanZen Mode,Fire,Psychic,540,105,30,105,140,105,55,5,FALSE
Maractus,Grass,,461,75,86,67,106,67,60,5,FALSE
Dwebble,Bug,Rock,325,50,65,85,35,35,55,5,FALSE
Crustle,Bug,Rock,475,70,95,125,65,75,45,5,FALSE
Scraggy,Dark,Fighting,348,50,75,70,35,70,48,5,FALSE
Scrafty,Dark,Fighting,488,65,90,115,45,115,58,5,FALSE
Sigilyph,Psychic,Flying,490,72,58,80,103,80,97,5,FALSE
Yamask,Ghost,,303,38,30,85,55,65,30,5,FALSE
Cofagrigus,Ghost,,483,58,50,145,95,105,30,5,FALSE
Tirtouga,Water,Rock,355,54,78,103,53,45,22,5,FALSE
Carracosta,Water,Rock,495,74,108,133,83,65,32,5,FALSE
Archen,Rock,Flying,401,55,112,45,74,45,70,5,FALSE
Archeops,Rock,Flying,567,75,140,65,112,65,110,5,FALSE
Trubbish,Poison,,329,50,50,62,40,62,65,5,FALSE
Garbodor,Poison,,474,80,95,82,60,82,75,5,FALSE
Zorua,Dark,,330,40,65,40,80,40,65,5,FALSE
Zoroark,Dark,,510,60,105,60,120,60,105,5,FALSE
Minccino,Normal,,300,55,50,40,40,40,75,5,FALSE
Cinccino,Normal,,470,75,95,60,65,60,115,5,FALSE
Gothita,Psychic,,290,45,30,50,55,65,45,5,FALSE
Gothorita,Psychic,,390,60,45,70,75,85,55,5,FALSE
Gothitelle,Psychic,,490,70,55,95,95,110,65,5,FALSE
Solosis,Psychic,,290,45,30,40,105,50,20,5,FALSE
Duosion,Psychic,,370,65,40,50,125,60,30,5,FALSE
Reuniclus,Psychic,,490,110,65,75,125,85,30,5,FALSE
Ducklett,Water,Flying,305,62,44,50,44,50,55,5,FALSE
Swanna,Water,Flying,473,75,87,63,87,63,98,5,FALSE
Vanillite,Ice,,305,36,50,50,65,60,44,5,FALSE
Vanillish,Ice,,395,51,65,65,80,75,59,5,FALSE
Vanilluxe,Ice,,535,71,95,85,110,95,79,5,FALSE
Deerling,Normal,Grass,335,60,60,50,40,50,75,5,FALSE
Sawsbuck,Normal,Grass,475,80,100,70,60,70,95,5,FALSE
Emolga,Electric,Flying,428,55,75,60,75,60,103,5,FALSE
Karrablast,Bug,,315,50,75,45,40,45,60,5,FALSE
Escavalier,Bug,Steel,495,70,135,105,60,105,20,5,FALSE
Foongus,Grass,Poison,294,69,55,45,55,55,15,5,FALSE
Amoonguss,Grass,Poison,464,114,85,70,85,80,30,5,FALSE
Frillish,Water,Ghost,335,55,40,50,65,85,40,5,FALSE
Jellicent,Water,Ghost,480,100,60,70,85,105,60,5,FALSE
Alomomola,Water,,470,165,75,80,40,45,65,5,FALSE
Joltik,Bug,Electric,319,50,47,50,57,50,65,5,FALSE
Galvantula,Bug,Electric,472,70,77,60,97,60,108,5,FALSE
Ferroseed,Grass,Steel,305,44,50,91,24,86,10,5,FALSE
Ferrothorn,Grass,Steel,489,74,94,131,54,116,20,5,FALSE
Klink,Steel,,300,40,55,70,45,60,30,5,FALSE
Klang,Steel,,440,60,80,95,70,85,50,5,FALSE
Klinklang,Steel,,520,60,100,115,70,85,90,5,FALSE
Tynamo,Electric,,275,35,55,40,45,40,60,5,FALSE
Eelektrik,Electric,,405,65,85,70,75,70,40,5,FALSE
Eelektross,Electric,,515,85,115,80,105,80,50,5,FALSE
Elgyem,Psychic,,335,55,55,55,85,55,30,5,FALSE
Beheeyem,Psychic,,485,75,75,75,125,95,40,5,FALSE
Litwick,Ghost,Fire,275,50,30,55,65,55,20,5,FALSE
Lampent,Ghost,Fire,370,60,40,60,95,60,55,5,FALSE
Chandelure,Ghost,Fire,520,60,55,90,145,90,80,5,FALSE
Axew,Dragon,,320,46,87,60,30,40,57,5,FALSE
Fraxure,Dragon,,410,66,117,70,40,50,67,5,FALSE
Haxorus,Dragon,,540,76,147,90,60,70,97,5,FALSE
Cubchoo,Ice,,305,55,70,40,60,40,40,5,FALSE
Beartic,Ice,,485,95,110,80,70,80,50,5,FALSE
Cryogonal,Ice,,485,70,50,30,95,135,105,5,FALSE
Shelmet,Bug,,305,50,40,85,40,65,25,5,FALSE
Accelgor,Bug,,495,80,70,40,100,60,145,5,FALSE
Stunfisk,Ground,Electric,471,109,66,84,81,99,32,5,FALSE
Mienfoo,Fighting,,350,45,85,50,55,50,65,5,FALSE
Mienshao,Fighting,,510,65,125,60,95,60,105,5,FALSE
Druddigon,Dragon,,485,77,120,90,60,90,48,5,FALSE
Golett,Ground,Ghost,303,59,74,50,35,50,35,5,FALSE
Golurk,Ground,Ghost,483,89,124,80,55,80,55,5,FALSE
Pawniard,Dark,Steel,340,45,85,70,40,40,60,5,FALSE
Bisharp,Dark,Steel,490,65,125,100,60,70,70,5,FALSE
Bouffalant,Normal,,490,95,110,95,40,95,55,5,FALSE
Rufflet,Normal,Flying,350,70,83,50,37,50,60,5,FALSE
Braviary,Normal,Flying,510,100,123,75,57,75,80,5,FALSE
Vullaby,Dark,Flying,370,70,55,75,45,65,60,5,FALSE
Mandibuzz,Dark,Flying,510,110,65,105,55,95,80,5,FALSE
Heatmor,Fire,,484,85,97,66,105,66,65,5,FALSE
Durant,Bug,Steel,484,58,109,112,48,48,109,5,FALSE
Deino,Dark,Dragon,300,52,65,50,45,50,38,5,FALSE
Zweilous,Dark,Dragon,420,72,85,70,65,70,58,5,FALSE
Hydreigon,Dark,Dragon,600,92,105,90,125,90,98,5,FALSE
Larvesta,Bug,Fire,360,55,85,55,50,55,60,5,FALSE
Volcarona,Bug,Fire,550,85,60,65,135,105,100,5,FALSE
Cobalion,Steel,Fighting,580,91,90,129,90,72,108,5,TRUE
Terrakion,Rock,Fighting,580,91,129,90,72,90,108,5,TRUE
Virizion,Grass,Fighting,580,91,90,72,90,129,108,5,TRUE
TornadusIncarnate Forme,Flying,,580,79,115,70,125,80,111,5,TRUE
TornadusTherian Forme,Flying,,580,79,100,80,110,90,121,5,TRUE
ThundurusIncarnate Forme,Electric,Flying,580,79,115,70,125,80,111,5,TRUE
ThundurusTherian Forme,Electric,Flying,580,79,105,70,145,80,101,5,TRUE
Reshiram,Dragon,Fire,680,100,120,100,150,120,90,5,TRUE
Zekrom,Dragon,Electric,680,100,150,120,120,100,90,5,TRUE
LandorusIncarnate Forme,Ground,Flying,600,89,125,90,115,80,101,5,TRUE
LandorusTherian Forme,Ground,Flying,600,89,145,90,105,80,91,5,TRUE
Kyurem,Dragon,Ice,660,125,130,90,130,90,95,5,TRUE
KyuremBlack Kyurem,Dragon,Ice,700,125,170,100,120,90,95,5,TRUE
KyuremWhite Kyurem,Dragon,Ice,700,125,120,90,170,100,95,5,TRUE
KeldeoOrdinary Forme,Water,Fighting,580,91,72,90,129,90,108,5,FALSE
KeldeoResolute Forme,Water,Fighting,580,91,72,90,129,90,108,5,FALSE
MeloettaAria Forme,Normal,Psychic,600,100,77,77,128,128,90,5,FALSE
MeloettaPirouette Forme,Normal,Fighting,600,100,128,90,77,77,128,5,FALSE
Genesect,Bug,Steel,600,71,120,95,120,95,99,5,FALSE
Chespin,Grass,,313,56,61,65,48,45,38,6,FALSE
Quilladin,Grass,,405,61,78,95,56,58,57,6,FALSE
Chesnaught,Grass,Fighting,530,88,107,122,74,75,64,6,FALSE
Fennekin,Fire,,307,40,45,40,62,60,60,6,FALSE
Braixen,Fire,,409,59,59,58,90,70,73,6,FALSE
Delphox,Fire,Psychic,534,75,69,72,114,100,104,6,FALSE
Froakie,Water,,314,41,56,40,62,44,71,6,FALSE
Frogadier,Water,,405,54,63,52,83,56,97,6,FALSE
Greninja,Water,Dark,530,72,95,67,103,71,122,6,FALSE
Bunnelby,Normal,,237,38,36,38,32,36,57,6,FALSE
Diggersby,Normal,Ground,423,85,56,77,50,77,78,6,FALSE
Fletchling,Normal,Flying,278,45,50,43,40,38,62,6,FALSE
Fletchinder,Fire,Flying,382,62,73,55,56,52,84,6,FALSE
Talonflame,Fire,Flying,499,78,81,71,74,69,126,6,FALSE
Scatterbug,Bug,,200,38,35,40,27,25,35,6,FALSE
Spewpa,Bug,,213,45,22,60,27,30,29,6,FALSE
Vivillon,Bug,Flying,411,80,52,50,90,50,89,6,FALSE
Litleo,Fire,Normal,369,62,50,58,73,54,72,6,FALSE
Pyroar,Fire,Normal,507,86,68,72,109,66,106,6,FALSE
Flabébé,Fairy,,303,44,38,39,61,79,42,6,FALSE
Floette,Fairy,,371,54,45,47,75,98,52,6,FALSE
Florges,Fairy,,552,78,65,68,112,154,75,6,FALSE
Skiddo,Grass,,350,66,65,48,62,57,52,6,FALSE
Gogoat,Grass,,531,123,100,62,97,81,68,6,FALSE
Pancham,Fighting,,348,67,82,62,46,48,43,6,FALSE
Pangoro,Fighting,Dark,495,95,124,78,69,71,58,6,FALSE
Furfrou,Normal,,472,75,80,60,65,90,102,6,FALSE
Espurr,Psychic,,355,62,48,54,63,60,68,6,FALSE
MeowsticMale,Psychic,,466,74,48,76,83,81,104,6,FALSE
MeowsticFemale,Psychic,,466,74,48,76,83,81,104,6,FALSE
Honedge,Steel,Ghost,325,45,80,100,35,37,28,6,FALSE
Doublade,Steel,Ghost,448,59,110,150,45,49,35,6,FALSE
AegislashBlade Forme,Steel,Ghost,520,60,150,50,150,50,60,6,FALSE
AegislashShield Forme,Steel,Ghost,520,60,50,150,50,150,60,6,FALSE
Spritzee,Fairy,,341,78,52,60,63,65,23,6,FALSE
Aromatisse,Fairy,,462,101,72,72,99,89,29,6,FALSE
Swirlix,Fairy,,341,62,48,66,59,57,49,6,FALSE
Slurpuff,Fairy,,480,82,80,86,85,75,72,6,FALSE
Inkay,Dark,Psychic,288,53,54,53,37,46,45,6,FALSE
Malamar,Dark,Psychic,482,86,92,88,68,75,73,6,FALSE
Binacle,Rock,Water,306,42,52,67,39,56,50,6,FALSE
Barbaracle,Rock,Water,500,72,105,115,54,86,68,6,FALSE
Skrelp,Poison,Water,320,50,60,60,60,60,30,6,FALSE
Dragalge,Poison,Dragon,494,65,75,90,97,123,44,6,FALSE
Clauncher,Water,,330,50,53,62,58,63,44,6,FALSE
Clawitzer,Water,,500,71,73,88,120,89,59,6,FALSE
Helioptile,Electric,Normal,289,44,38,33,61,43,70,6,FALSE
Heliolisk,Electric,Normal,481,62,55,52,109,94,109,6,FALSE
Tyrunt,Rock,Dragon,362,58,89,77,45,45,48,6,FALSE
Tyrantrum,Rock,Dragon,521,82,121,119,69,59,71,6,FALSE
Amaura,Rock,Ice,362,77,59,50,67,63,46,6,FALSE
Aurorus,Rock,Ice,521,123,77,72,99,92,58,6,FALSE
Sylveon,Fairy,,525,95,65,65,110,130,60,6,FALSE
Hawlucha,Fighting,Flying,500,78,92,75,74,63,118,6,FALSE
Dedenne,Electric,Fairy,431,67,58,57,81,67,101,6,FALSE
Carbink,Rock,Fairy,500,50,50,150,50,150,50,6,FALSE
Goomy,Dragon,,300,45,50,35,55,75,40,6,FALSE
Sliggoo,Dragon,,452,68,75,53,83,113,60,6,FALSE
Goodra,Dragon,,600,90,100,70,110,150,80,6,FALSE
Klefki,Steel,Fairy,470,57,80,91,80,87,75,6,FALSE
Phantump,Ghost,Grass,309,43,70,48,50,60,38,6,FALSE
Trevenant,Ghost,Grass,474,85,110,76,65,82,56,6,FALSE
PumpkabooAverage Size,Ghost,Grass,335,49,66,70,44,55,51,6,FALSE
PumpkabooSmall Size,Ghost,Grass,335,44,66,70,44,55,56,6,FALSE
PumpkabooLarge Size,Ghost,Grass,335,54,66,70,44,55,46,6,FALSE
PumpkabooSuper Size,Ghost,Grass,335,59,66,70,44,55,41,6,FALSE
GourgeistAverage Size,Ghost,Grass,494,65,90,122,58,75,84,6,FALSE
GourgeistSmall Size,Ghost,Grass,494,55,85,122,58,75,99,6,FALSE
GourgeistLarge Size,Ghost,Grass,494,75,95,122,58,75,69,6,FALSE
GourgeistSuper Size,Ghost,Grass,494,85,100,122,58,75,54,6,FALSE
Bergmite,Ice,,304,55,69,85,32,35,28,6,FALSE
Avalugg,Ice,,514,95,117,184,44,46,28,6,FALSE
Noibat,Flying,Dragon,245,40,30,35,45,40,55,6,FALSE
Noivern,Flying,Dragon,535,85,70,80,97,80,123,6,FALSE
Xerneas,Fairy,,680,126,131,95,131,98,99,6,TRUE
Yveltal,Dark,Flying,680,126,131,95,131,98,99,6,TRUE
Zygarde50% Forme,Dragon,Ground,600,108,100,121,81,95,95,6,TRUE
Diancie,Rock,Fairy,600,50,100,150,100,150,50,6,TRUE
DiancieMega Diancie,Rock,Fairy,700,50,160,110,160,110,110,6,TRUE
HoopaHoopa Confined,Psychic,Ghost,600,80,110,60,150,130,70,6,TRUE
HoopaHoopa Unbound,Psychic,Dark,680,80,160,60,170,130,80,6,TRUE
Volcanion,Fire,Water,600,80,110,120,130,90,70,6,TRUE